440.38906|ISTEP 13.11 - mss_draminit_training
440.56619|FAPI|mss_training.C: pu.mca:k0:n0:s0:p00:c1 RP0 latching WR VREF values below
440.56625|FAPI|rank.H: get_pair_valid (rp0, r0): 0x1
440.56626|FAPI|rank.H: get_rank_field (rp0, r0): 0x0
440.56628|FAPI|rank.H: get_pair_valid (rp0, r1): 0x0
440.56629|FAPI|rank.H: get_pair_valid (rp0, r2): 0x0
440.56630|FAPI|rank.H: get_pair_valid (rp0, r3): 0x0
440.56639|FAPI|conversions.H: converting 150000ps to 200 cycles
440.56645|FAPI|mrs06.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) MR6 rank 0 attributes: TRAIN_V: 0xd(0xd), TRAIN_R: 0x0, TRAIN_E: 0x1, TCCD_L: 0x7(0x3)
440.56647|FAPI|mrs06.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) MR6: 0xb13038f0cc000000
440.56653|FAPI|mrs_load_ddr4.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) Turning A17 off
440.56656|FAPI|mrs06.C: MR6 rank 0 decode: TRAIN_V: 0xd, TRAIN_R: 0x0, TRAIN_E: 0x1, TCCD_L: 0x3
440.56661|FAPI|mrs_load_ddr4.H: MRS06 (200) 0xb13038f0cc000000:0x00c8000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4):rank 0 a-side
440.56666|FAPI|mrs_load_ddr4.H: MRS06 (200) 0xaee548f0cc000000:0x00c8000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4):rank 0 b-side
440.56669|FAPI|conversions.H: converting 150000ps to 200 cycles
440.56676|FAPI|mrs06.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) MR6 rank 0 attributes: TRAIN_V: 0xd(0xd), TRAIN_R: 0x0, TRAIN_E: 0x1, TCCD_L: 0x7(0x3)
440.56678|FAPI|mrs06.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) MR6: 0xb13038f0cc000000
440.56684|FAPI|mrs_load_ddr4.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) Turning A17 off
440.56687|FAPI|mrs06.C: MR6 rank 0 decode: TRAIN_V: 0xd, TRAIN_R: 0x0, TRAIN_E: 0x1, TCCD_L: 0x3
440.56692|FAPI|mrs_load_ddr4.H: MRS06 (200) 0xb13038f0cc000000:0x00c8000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4):rank 0 a-side
440.56697|FAPI|mrs_load_ddr4.H: MRS06 (200) 0xaee548f0cc000000:0x00c8000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4):rank 0 b-side
440.56700|FAPI|conversions.H: converting 150000ps to 200 cycles
440.56706|FAPI|mrs06.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) MR6 rank 0 attributes: TRAIN_V: 0xd(0xd), TRAIN_R: 0x0, TRAIN_E: 0x0, TCCD_L: 0x7(0x3)
440.56708|FAPI|mrs06.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) MR6: 0xb03038f0cc000000
440.56714|FAPI|mrs_load_ddr4.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) Turning A17 off
440.56717|FAPI|mrs06.C: MR6 rank 0 decode: TRAIN_V: 0xd, TRAIN_R: 0x0, TRAIN_E: 0x0, TCCD_L: 0x3
440.56722|FAPI|mrs_load_ddr4.H: MRS06 (200) 0xb03038f0cc000000:0x00c8000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4):rank 0 a-side
440.56727|FAPI|mrs_load_ddr4.H: MRS06 (200) 0xafe548f0cc000000:0x00c8000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4):rank 0 b-side
440.56730|FAPI|ccs.H: loading ccs instructions (6) for pu.mcbist:k0:n0:s0:p00:c0
440.56738|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 0000000000000000
440.56743|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 4000000000000000
440.56748|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 4000000000000000
440.56749|FAPI|ccs.H: ccs statq (stop) 0x4000000000000000, remaining: 50
440.56754|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012315 B13038F04C000000
440.56759|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012335 00C8000000000001
440.56764|FAPI|ccs.H: css inst 0: 0xB13038F04C000000 0x00C8000000000001 (0x7012315, 0x7012335) delay: 0xc8 (0xc8) pu.mcbist:k0:n0:s0:p00:c0
440.56770|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012316 AEE548F04C000000
440.56774|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012336 00C8000000000002
440.56780|FAPI|ccs.H: css inst 1: 0xAEE548F04C000000 0x00C8000000000002 (0x7012316, 0x7012336) delay: 0xc8 (0x190) pu.mcbist:k0:n0:s0:p00:c0
440.56784|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012317 B13038F04C000000
440.56789|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012337 00C8000000000003
440.56794|FAPI|ccs.H: css inst 2: 0xB13038F04C000000 0x00C8000000000003 (0x7012317, 0x7012337) delay: 0xc8 (0x258) pu.mcbist:k0:n0:s0:p00:c0
440.56799|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012318 AEE548F04C000000
440.56803|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012338 00C8000000000004
440.56809|FAPI|ccs.H: css inst 3: 0xAEE548F04C000000 0x00C8000000000004 (0x7012318, 0x7012338) delay: 0xc8 (0x320) pu.mcbist:k0:n0:s0:p00:c0
440.56813|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012319 B03038F04C000000
440.56818|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012339 00C8000000000005
440.56823|FAPI|ccs.H: css inst 4: 0xB03038F04C000000 0x00C8000000000005 (0x7012319, 0x7012339) delay: 0xc8 (0x3e8) pu.mcbist:k0:n0:s0:p00:c0
440.56828|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701231A AFE548F04C000000
440.56832|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701233A 00C8000000000006
440.56838|FAPI|ccs.H: css inst 5: 0xAFE548F04C000000 0x00C8000000000006 (0x701231a, 0x701233a) delay: 0xc8 (0x4b0) pu.mcbist:k0:n0:s0:p00:c0
440.56840|FAPI|conversions.H: converting 1200 cycles to 900000ps
440.56842|FAPI|ccs.H: executing ccs instructions (6:6, 900) for pu.mcbist:k0:n0:s0:p00:c0
440.56846|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701231B 000008F0CC000000
440.56851|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701233B 0000000000000020
440.56856|FAPI|ccs.H: css inst 6 fixup: 0x000008F0CC000000 0x0000000000000020 (0x701231b, 0x701233b) pu.mcbist:k0:n0:s0:p00:c0
440.56858|FAPI|ccs.H: executing CCS array for port 1 (pu.mca:k0:n0:s0:p00:c1)
440.56862|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DB 1000000000000000
440.56866|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DB 1000000000000000
440.56871|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 0000000000000000
440.56876|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 8000000000000000
440.56880|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 4000000000000000
440.56882|FAPI|ccs.H: pu.mca:k0:n0:s0:p00:c1 CCS Executed Successfully.
440.56886|FAPI|mss_training.H: pu.mca:k0:n0:s0:p00:c1 RP0 cal step 'WR_VREF_LATCH' has no post-cal step workaround.
440.56888|FAPI|mss_training.C: pu.mca:k0:n0:s0:p00:c1 rp0 running WRITE_CTR
440.56891|FAPI|mss_training.C: pu.mca:k0:n0:s0:p00:c1 checking for clear DRAMs
440.57050|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000007C0701103F 0000000000000000
440.57208|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM0 reg:0x8000007c0701103f reg_value:0x0000000000000000 DRAM disables: 0x0
440.57213|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM0 DRAM disables: 0x0 clear value: 0x0 has no disables
440.57215|FAPI|mss_training.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM0 Disables? no
440.57221|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000380701103F 0000000000001B40
440.57228|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000007C0701103F 0000000000000000
440.57233|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM1 reg:0x8000007c0701103f reg_value:0x0000000000000000 DRAM disables: 0x0
440.57238|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM1 DRAM disables: 0x0 clear value: 0x0 has no disables
440.57240|FAPI|mss_training.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM1 Disables? no
440.57246|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000400701103F 0000000000001E00
440.57252|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000047C0701103F 0000000000000000
440.57258|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM2 reg:0x8000047c0701103f reg_value:0x0000000000000000 DRAM disables: 0x0
440.57262|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM2 DRAM disables: 0x0 clear value: 0x0 has no disables
440.57264|FAPI|mss_training.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM2 Disables? no
440.57270|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004380701103F 0000000000001600
440.57276|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000047C0701103F 0000000000000000
440.57282|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM3 reg:0x8000047c0701103f reg_value:0x0000000000000000 DRAM disables: 0x0
440.57286|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM3 DRAM disables: 0x0 clear value: 0x0 has no disables
440.57288|FAPI|mss_training.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM3 Disables? no
440.57294|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004400701103F 0000000000001900
440.57300|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000087C0701103F 0000000000000000
440.57306|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM4 reg:0x8000087c0701103f reg_value:0x0000000000000000 DRAM disables: 0x0
440.57310|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM4 DRAM disables: 0x0 clear value: 0x0 has no disables
440.57312|FAPI|mss_training.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM4 Disables? no
440.57318|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008380701103F 0000000000001C40
440.57324|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000087C0701103F 0000000000000000
440.57330|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM5 reg:0x8000087c0701103f reg_value:0x0000000000000000 DRAM disables: 0x0
440.57334|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM5 DRAM disables: 0x0 clear value: 0x0 has no disables
440.57336|FAPI|mss_training.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM5 Disables? no
440.57342|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008400701103F 0000000000001880
440.57348|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C7C0701103F 0000000000000000
440.57354|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM6 reg:0x80000c7c0701103f reg_value:0x0000000000000000 DRAM disables: 0x0
440.57358|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM6 DRAM disables: 0x0 clear value: 0x0 has no disables
440.57360|FAPI|mss_training.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM6 Disables? no
440.57366|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C380701103F 0000000000002040
440.57372|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C7C0701103F 0000000000000000
440.57378|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM7 reg:0x80000c7c0701103f reg_value:0x0000000000000000 DRAM disables: 0x0
440.57382|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM7 DRAM disables: 0x0 clear value: 0x0 has no disables
440.57384|FAPI|mss_training.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM7 Disables? no
440.57390|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C400701103F 0000000000002280
440.57396|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000107C0701103F 00000000000000FF
440.57402|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM8 reg:0x8000107c0701103f reg_value:0x00000000000000ff DRAM disables: 0x0
440.57406|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM8 DRAM disables: 0x0 clear value: 0x0 has no disables
440.57408|FAPI|mss_training.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM8 Disables? no
440.57414|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010380701103F 0000000000002340
440.57571|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000006C0701103F 000000000000408E
440.57577|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000046C0701103F 000000000000408E
440.57582|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000086C0701103F 000000000000408E
440.57587|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C6C0701103F 000000000000408E
440.57592|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000106C0701103F 000000000000408E
440.57597|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000006C0701103F 000000000000408E
440.57602|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000046C0701103F 000000000000408E
440.57607|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000086C0701103F 000000000000408E
440.57612|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C6C0701103F 000000000000408E
440.57617|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000106C0701103F 000000000000408E
440.57620|FAPI|mss_training.C: pu.mca:k0:n0:s0:p00:c1 RP0 running cal step 'WRITE_CTR'
440.57625|FAPI|conversions.H: converting 3870184 cycles to 2902638000ps
440.57627|FAPI|conversions.H: converting 483773 cycles to 362829750ps
440.57629|FAPI|conversions.H: converting 10000000ps to 13334 cycles
440.57631|FAPI|conversions.H: converting 3870184 cycles to 2902638000ps
440.57635|FAPI|cal_timers.H: pu.mca:k0:n0:s0:p00:c1 tc: 3870184c, id: 362830ns(3870184sc), d: 10000(106672sc), pc: 1012
440.57638|FAPI|ddr_phy.C: cal_config for pu.mca:k0:n0:s0:p00:c1: 0x0000000000000408
440.57643|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C0160701103F 0000000000000408
440.57645|FAPI|ccs.H: loading ccs instructions (1) for pu.mcbist:k0:n0:s0:p00:c0
440.57654|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 0000000000000000
440.57659|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 4000000000000000
440.57663|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 4000000000000000
440.57665|FAPI|ccs.H: ccs statq (stop) 0x4000000000000000, remaining: 50
440.57669|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012315 000000F0CC0000C0
440.57674|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012335 0000000000000041
440.57679|FAPI|ccs.H: css inst 0: 0x000000F0CC0000C0 0x0000000000000041 (0x7012315, 0x7012335) delay: 0x0 (0x0) pu.mcbist:k0:n0:s0:p00:c0
440.57682|FAPI|ccs.H: executing ccs instructions (1:1, 362830) for pu.mcbist:k0:n0:s0:p00:c0
440.57687|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012316 000008F0CC000000
440.57691|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012336 0000000000000020
440.57696|FAPI|ccs.H: css inst 1 fixup: 0x000008F0CC000000 0x0000000000000020 (0x7012316, 0x7012336) pu.mcbist:k0:n0:s0:p00:c0
440.57698|FAPI|ccs.H: executing CCS array for port 1 (pu.mca:k0:n0:s0:p00:c1)
440.57703|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DB 1000000000000000
440.57707|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DB 1000000000000000
440.57711|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 0000000000000000
440.57716|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 8000000000000000
440.57757|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.57764|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.57770|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.57776|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.57781|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.57788|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.57794|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.57800|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.57806|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.57812|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.57818|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.57824|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.57830|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.57836|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.57842|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.57848|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.57854|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.57860|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.57866|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.57872|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.57878|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.57884|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.57890|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.57896|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.57902|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.57908|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.57914|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.57920|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.57926|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.57932|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.57938|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 8000000000000000
440.60405|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 4000000000000000
440.60406|FAPI|ccs.H: pu.mca:k0:n0:s0:p00:c1 CCS Executed Successfully.
440.60415|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000007C0701103F 0000000000000000
440.60421|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM0 reg:0x8000007c0701103f reg_value:0x0000000000000000 DRAM disables: 0x0
440.60425|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM0 DRAM disables: 0x0 check value: 0xff isn't disabled
440.60432|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000007C0701103F 0000000000000000
440.60438|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM1 reg:0x8000007c0701103f reg_value:0x0000000000000000 DRAM disables: 0x0
440.60442|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM1 DRAM disables: 0x0 check value: 0xff isn't disabled
440.60449|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000047C0701103F 0000000000000000
440.60455|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM2 reg:0x8000047c0701103f reg_value:0x0000000000000000 DRAM disables: 0x0
440.60459|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM2 DRAM disables: 0x0 check value: 0xff isn't disabled
440.60466|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000047C0701103F 0000000000000000
440.60476|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM3 reg:0x8000047c0701103f reg_value:0x0000000000000000 DRAM disables: 0x0
440.60481|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM3 DRAM disables: 0x0 check value: 0xff isn't disabled
440.60488|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000087C0701103F 0000000000000000
440.60493|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM4 reg:0x8000087c0701103f reg_value:0x0000000000000000 DRAM disables: 0x0
440.60498|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM4 DRAM disables: 0x0 check value: 0xff isn't disabled
440.60505|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000087C0701103F 0000000000000000
440.60510|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM5 reg:0x8000087c0701103f reg_value:0x0000000000000000 DRAM disables: 0x0
440.60515|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM5 DRAM disables: 0x0 check value: 0xff isn't disabled
440.60522|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C7C0701103F 0000000000000000
440.60527|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM6 reg:0x80000c7c0701103f reg_value:0x0000000000000000 DRAM disables: 0x0
440.60531|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM6 DRAM disables: 0x0 check value: 0xff isn't disabled
440.60538|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C7C0701103F 0000000000000000
440.60543|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM7 reg:0x80000c7c0701103f reg_value:0x0000000000000000 DRAM disables: 0x0
440.60547|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM7 DRAM disables: 0x0 check value: 0xff isn't disabled
440.60554|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000107C0701103F 00000000000000FF
440.60559|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM8 reg:0x8000107c0701103f reg_value:0x00000000000000ff DRAM disables: 0x0
440.60563|FAPI|dp16_workarounds.C: pu.mca:k0:n0:s0:p00:c1 RP0 DRAM8 DRAM disables: 0x0 check value: 0xff isn't disabled
440.60566|FAPI|mss_training.C: pu.mca:k0:n0:s0:p00:c1 rp0 running COARSE_WR/RD
440.60569|FAPI|mss_training.H: pu.mca:k0:n0:s0:p00:c1 RP0 cal step 'COARSE_WR/RD' has no pre-cal step workaround.
